smile,value_min,value_max,value_mean,labled,Temperature,Frequency,VR3_A,AATS7v,AATS2p,AATS6p,ATSC6m,ATSC1are,MATS3dv,MATS3m,MATS8m,MATS1se,MATS3are,MATS1p,GATS4d,GATS7d,GATS7m,GATS5are,GATS6are,GATS2p,GATS4p,GATS8p,GATS6i,BCUTm-1l,BCUTi-1l,SddssS,ETA_shape_p,AETA_beta_ns_d,ETA_dBeta,IC1,BIC2,PEOE_VSA7,PEOE_VSA9,SMR_VSA3,SlogP_VSA2,EState_VSA3,EState_VSA4,EState_VSA7,EState_VSA10,MDEO-11,AMID_N,n6HRing,n10FRing,nFAHRing,TopoPSA,JGI3,JGI8
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(=O)c4cccc(C(=O)c5ccc(Oc6ccc(N7C(=O)c8ccccc8C7=O)cc6)cc5)c4)cc3)cc1)C2=O,3.1,3.2,3.15,0,0.388888889,0.446546712,0.31541242,0.520599686,0.627503952,0.633573455,0.603757589,0.867543993,0.249284987,0.391506709,0.743732965,0.600105756,0.325211476,0.28478107,0.562609792,0.277800557,0.378138477,0.500165081,0.302137448,0.738705842,0.275409775,0.407801358,0.495807448,0.823066615,0.990167449,1,0.122996642,0.175,0.666666667,0.157834556,0.190240701,0.476681105,0.356069873,0,0.430257077,0.69395867,0.100964665,0,0.250238904,0.446473475,0.077496501,0,0,0.5,0.297493488,0.230743177,0.382682115
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(=O)c4ccc(Oc5ccc(N6C(=O)c7ccccc7C6=O)cc5)cc4)cc3)cc1)C2=O,3.88,3.88,3.88,0,0.384444444,0.25516955,0.249569496,0.443680923,0.601012632,0.604224866,0.602041022,0.859192582,0.237911926,0.381870892,0.839301924,0.560295114,0.276848652,0.212733663,0.559913861,0.183224381,0.371869095,0.508314789,0.313791252,0.747602439,0.305397264,0.384467812,0.522824927,0.853536595,0.993565851,1,0.119556126,0.201923077,0.593333333,0.181806751,0.266397473,0.452777216,0.356069873,0,0.353332818,0.596957336,0.100964665,0,0.166825936,0.294494518,0.129846711,0,0,0.5,0.224603954,0.257380736,0.35895694
O=Cc1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccccc4C3=O)cc1)C2=O,3.87,3.87,3.87,0,0.382222222,0.25516955,0.040261323,0.642980084,0.670014814,0.648860572,0.590457851,0.852507406,0.413444995,0.534187327,1,0.545987807,0.427903515,0.202178587,0.54982399,0,0.473530445,0.802226049,0.679368105,0.451533592,0.41769678,0.591493704,0.486333279,0.853541873,0.993566378,1,0.302712633,0,0.413333333,0.134714237,0.378100668,0.165930537,0.356069873,0,0.27640856,0.299465242,0.100964665,0,0.083412968,0.375059276,0.41800688,0,0,0.5,0.072889534,0.559598383,0.630852388
O=Cc1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccccc4C3=O)cc1)C2=O,3.75,3.75,3.75,0,0.382222222,0.446546712,0.040261323,0.642980084,0.670014814,0.648860572,0.590457851,0.852507406,0.413444995,0.534187327,1,0.545987807,0.427903515,0.202178587,0.54982399,0,0.473530445,0.802226049,0.679368105,0.451533592,0.41769678,0.591493704,0.486333279,0.853541873,0.993566378,1,0.302712633,0,0.413333333,0.134714237,0.378100668,0.165930537,0.356069873,0,0.27640856,0.299465242,0.100964665,0,0.083412968,0.375059276,0.41800688,0,0,0.5,0.072889534,0.559598383,0.630852388
O=Cc1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccccc4C3=O)cc1)C2=O,2.684,3.13,2.907,0,0.384444444,0.25516955,0.040261323,0.642980084,0.670014814,0.648860572,0.590457851,0.852507406,0.413444995,0.534187327,1,0.545987807,0.427903515,0.202178587,0.54982399,0,0.473530445,0.802226049,0.679368105,0.451533592,0.41769678,0.591493704,0.486333279,0.853541873,0.993566378,1,0.302712633,0,0.413333333,0.134714237,0.378100668,0.165930537,0.356069873,0,0.27640856,0.299465242,0.100964665,0,0.083412968,0.375059276,0.41800688,0,0,0.5,0.072889534,0.559598383,0.630852388
O=Cc1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccccc4C3=O)cc1)C2=O,2.1,3.5,2.74,0,0.388888889,0.446546712,0.040261323,0.642980084,0.670014814,0.648860572,0.590457851,0.852507406,0.413444995,0.534187327,1,0.545987807,0.427903515,0.202178587,0.54982399,0,0.473530445,0.802226049,0.679368105,0.451533592,0.41769678,0.591493704,0.486333279,0.853541873,0.993566378,1,0.302712633,0,0.413333333,0.134714237,0.378100668,0.165930537,0.356069873,0,0.27640856,0.299465242,0.100964665,0,0.083412968,0.375059276,0.41800688,0,0,0.5,0.072889534,0.559598383,0.630852388
O=Cc1ccc2c(c1)C(=O)N(c1ccc(N(c3ccccc3)c3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3.16,3.16,3.16,0,0.384444444,0.701716261,0.093139095,0.389837749,0.621218085,0.617847285,0.562871471,0.889091125,0.381250067,0.496876551,0.8887754,0.60961486,0.413488356,0.213217231,0.699404586,0.058536055,0.415420473,0.516009463,0.350378647,0.638068212,0.243451748,0.292168453,0.572236791,0.853539034,0.993566093,1,0.119990734,0.122093023,0.526666667,0,0.029503567,0.309353877,0.356069873,0,0.27640856,0.299465242,0.226268749,0.249586079,0.083412968,0.251042677,0.456080578,0,0,0.5,0.086724455,0.410110853,0.595550084
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3.39,3.39,3.39,0,0.384444444,0.446546712,0.083905519,0.509914629,0.628306328,0.649351032,0.558878919,0.886171393,0.420205641,0.398304965,0.5674528,0.643767751,0.501385204,0.336756616,0.417696567,0.31794005,0.497196508,0.654759375,0.592818736,0.529558926,0.419615985,0.370987329,0.399937414,0.853539611,0.993566149,1,0.186195821,0,0.466666667,0.317712745,0.46699813,0.235075525,0.356069873,0,0.27640856,0.355440229,0.165119549,0.12786635,0.083412968,0.251042677,0.289030325,0,0,0.5,0.072889534,0.405394705,0.41046021
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3,3,3,0,0.384444444,0.25516955,0.083905519,0.509914629,0.628306328,0.649351032,0.558878919,0.886171393,0.420205641,0.398304965,0.5674528,0.643767751,0.501385204,0.336756616,0.417696567,0.31794005,0.497196508,0.654759375,0.592818736,0.529558926,0.419615985,0.370987329,0.399937414,0.853539611,0.993566149,1,0.186195821,0,0.466666667,0.317712745,0.46699813,0.235075525,0.356069873,0,0.27640856,0.355440229,0.165119549,0.12786635,0.083412968,0.251042677,0.289030325,0,0,0.5,0.072889534,0.405394705,0.41046021
O=Cc1ccc2c(c1)C(=O)N(c1ccc(C(=O)Nc3ccc(Oc4ccc(NC(=O)c5ccc(NC(=O)Nc6ccc(Cc7ccc(NC(=O)Nc8ccc(C(=O)Nc9ccc(Oc%10ccc(NC(=O)c%11ccc(N%12C(=O)c%13ccccc%13C%12=O)cc%11)cc%10)cc9)cc8)cc7)cc6)cc5)cc4)cc3)cc1)C2=O,3.17,3.19,3.18,0,0.384444444,0.446546712,1,0.52438602,0.457740087,0.623638177,0.364418209,0.366547363,0.16591872,0.163160993,0.720851922,0.162333112,0.169446761,0.571638391,0.335814222,0.33474298,0.431538065,0.556210778,0.457130144,0.922389789,0.450668712,0.513190174,0.369993062,0.853526466,0.993564831,1,0.076207184,0.490654206,0.906666667,0.461901927,0.102212432,1,0.356069873,0,0.751141988,1,0.215601881,0.12786635,0.583890777,0.783027911,0.61818839,0,0,0.5,1,0.020455521,0.349103379
