pca1,pca2
-1184.3086874637092,-45.864182238375435
463.77996889725136,-77.70856328982134
526.3533134455998,-76.27229517527594
345.8239589487143,-104.6298527615855
-794.4986225686501,-129.96510097508718
-380.07206229798,-178.15174125749326
-67.37958932576313,-55.83416271872694
-1924.6788916239611,-57.93045070559104
-196.88829795673817,-100.15303387669236
-640.9269042542821,-22.664738616541406
-713.9791089249592,-56.374672331100875
-388.45715828673974,-45.79286184854023
410.2286724936228,-102.99904397686647
-1085.4699039351094,-4.614410024000708
-932.7739062609494,-67.37134776639724
130.1495266246449,-68.37715082677822
-287.38449828544077,-142.7889378330129
53.891625649106395,-96.98837439379277
-23.992860540163424,-23.195053141258303
2143.6495762772292,26.148612311258066
2221.864742103486,-3.727578033050572
275.9193721011194,-79.47147646272977
-462.45463637157013,-21.63348244622397
-18.31441380637006,-71.23979199860982
236.09174784465873,-70.30184118124885
-649.0829781086483,-31.123309290545507
-850.9319892693791,-93.84816519062797
-387.9146472567563,-36.60059190835358
-416.59433725352477,-42.372042457823134
221.82110419245637,-105.99028846623975
-503.6569027944011,-53.35411209558448
-6.1177109024440375,-72.6606581840591
-481.5350778676696,-136.9471979904025
-552.273464966872,30.73497935992797
-465.3676656730499,-88.5517795015983
-191.48418121291937,-21.14508679908457
-364.50637544478445,-59.0166177232077
165.54144491581206,-72.12057856230548
-858.4221305676405,-61.17836980008614
316.16065297759155,-100.17323188001622
-240.28361780492997,-1.88144361550095
622.5550187795073,32.96406485318759
-335.10656983650915,-54.432803010911236
-1001.4398972703084,-33.10240028091193
337.3499388066012,-77.8066848866153
-569.6612367156142,37.72379085991637
-270.9112940891106,-52.379956188432296
-593.4900590786222,-40.438689538544274
-323.593048841701,-47.814356048026234
-1029.2484272015326,-99.80411238766307
1206.089209520034,-19.290660223400828
-1438.0277677743134,50.04417032978689
841.797162549827,307.0056611663366
-443.2419874237259,-7.827303424618688
-440.45803281278654,-138.18022030113457
-1168.31126761521,-27.310793009736155
163.5460562608662,-107.8157687237205
1949.5778046891608,2.7600274482432328
1053.3481974267888,-17.241208968102516
-472.06955649473355,-34.71929550821382
-716.9765326844255,-104.49259674076578
-93.4470389513159,-61.64116028897353
-701.3920179535452,-64.54209799633588
-700.702039644114,-148.20760001471427
-100.62891820753545,-197.04888889033847
-573.3752764017981,-51.28396345033372
441.95965919578293,-31.27479908150417
-682.0951108397162,-112.26941766249384
818.410337967675,54.815840045672836
3584.252500868078,-67.11459576387458
1327.2276852448722,-21.932607585121765
-781.2497327368312,-38.7044107157988
-1495.3987653216743,66.40524515258694
-813.5979260970947,-35.89850903438613
-648.2314625490213,-55.26707972141829
195.61200862228185,-77.02300526186352
