smiles,VE1_A,AATS7p,ATSC1v,ATSC7v,ATSC3p,AATSC2c,AATSC0p,MATS3c,MATS5c,MATS8c,MATS5d,MATS1m,MATS6m,MATS1se,MATS4are,MATS6are,MATS7are,MATS5p,MATS1i,MATS4i,MATS6i,GATS3c,GATS6c,GATS7c,GATS8c,GATS2d,GATS4d,GATS5d,GATS1s,GATS4m,GATS5v,GATS6v,GATS4are,GATS5are,GATS3p,GATS5p,GATS8p,BCUTc-1h,BCUTc-1l,BCUTm-1l,AXp-7d,AXp-7dv,NssCH2,SsNH2,ETA_shape_y,AETA_beta_ns_d,IC2,BIC0,BIC1,CIC5,PEOE_VSA7,SMR_VSA3,SlogP_VSA2,EState_VSA4,EState_VSA5,EState_VSA10,MDEC-23,MDEC-33,MDEO-11,AMID_N,AMID_O,naHRing,n6aHRing,n9FAHRing,JGI2,JGI5,PetitjeanIndex,MATS7c,MATS4d,MATS1s,MATS1v,MATS8are,MATS8i,GATS5c,GATS8d,GATS6m,GATS8v,GATS6p,GATS4i,BCUTd-1h,MIC5,PEOE_VSA9,EState_VSA6,EState_VSA7,JGI4,JGI8,JGI9,JGI10
CN(CCOc1ccc(C(C)(C)c2ccc(OCCN(C)c3ccc(/C=C/C4=CC(=C(C#N)C#N)CC(C)(C)C4)cc3)c(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)NC6=O)cc4C3=O)c2)cc1)c1ccc(/C=C/C2=CC(=C(C#N)C#N)CC(C)(C)C2)cc1,5.070195974,1.412785276,111.480408,-221.8373487,-17.45641775,0.000340041,0.233897523,-0.016600742,0.057578761,0.047163021,0.019904902,0.05084537,0.104908376,-0.005015966,0.122924822,0.098388511,-0.227624822,-0.036263105,-0.079749477,-0.018874525,-0.042109951,1.118213834,0.903802709,1.428885539,1.024654703,1.571847288,0.905985737,0.879825187,0.505401058,0.879891535,1.040614094,0.959978782,0.749293651,0.87527236,1.191387032,1.040857279,1.125802885,0.471564087,-0.522937759,11.69357845,0.029005799,0.007020613,8,0,0.318357862,0.027777778,4.913241032,0.189276386,0.471522761,1.126829747,165.9886305,5.316788604,64.02733962,73.66254961,18.19910121,40.22571496,0,0,0.765250257,0.171631906,0.14828222,0,0,2,0.084291188,0.028819444,0.5,-0.095394253,0.030039954,0.008283184,0.013064783,-0.112669413,-0.105990474,0.890732874,1.040114283,0.889317107,1.134150562,0.991818375,0.972130435,4.028706598,49.72696203,41.03070505,24.26546827,123.3399803,0.038646063,0.009211161,0.00875016,0.00835137
CN(CCOc1ccc(C(C)(C)c2ccc(OCCN(C)c3ccc(/C=C/C4=C/C(=C(/C#N)S(C)(=O)=O)CC(C)(C)C4)cc3)c(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)NC6=O)cc4C3=O)c2)cc1)c1ccc(/C=C/C2=C/C(=C(/C#N)S(C)(=O)=O)CC(C)(C)C2)cc1,5.071290958,1.362187375,196.4798217,-2470.01205,-14.31224676,0.000489497,0.267795456,-0.039595707,0.037587319,0.04279612,-0.002702703,0.150983729,0.016579881,0.048755549,0.138752451,0.110391696,-0.297425403,-0.012298094,-0.082169314,-0.038633802,-0.037806518,1.153118321,0.863675615,1.344009739,0.902043095,1.532562788,0.907449227,0.909419241,0.627885666,0.869816532,1.053071201,0.966068035,0.676158633,0.927449558,1.077759672,0.9703782,0.908079389,0.483294548,-0.522941454,11.69357845,0.028570241,0.007978653,8,0,0.302873987,0.026595745,5.051751648,0.199845017,0.475421347,1.152076637,165.9886305,5.316788604,93.37447196,68.6070573,24.26546827,46.53752581,0,0,1.547520432,0.127699217,0.213708458,0,0,2,0.087455197,0.032967836,0.5,-0.100040045,0.025466384,-0.107512393,0.021466809,-0.035590026,-0.012616799,0.903730586,0.887904298,1.082042016,1.005861069,1.145126021,1.01551596,4.045831907,51.61693687,41.03070505,18.19910121,152.5189559,0.036782549,0.010275308,0.009338387,0.008237141
CN(C)c1nc(Nc2cccc(N3C(=O)c4ccccc4C3=O)c2)nc(Nc2cccc(N3C(=O)c4ccc(C=O)cc4C3=O)c2)n1,4.450846506,1.430262904,-22.69606511,-112.3074045,-7.105597715,0.007825792,0.214139116,-0.333257103,-0.337306779,0.330670328,-0.169434454,0.040950644,-0.236653326,-0.073182632,0.041663171,-0.077688612,-0.114344455,0.028457061,-0.234707026,0.144570022,0.097066846,1.384578794,0.96799786,1.235838191,0.551860562,1.053859203,1.0511112,1.226631312,0.533773051,0.911386418,0.905966376,1.023022357,1.072909742,1.616793459,1.152219004,0.890894402,1.142380468,0.451301046,-0.414099879,11.69511178,0.027777691,0.004868561,0,0,0.420731707,0.031914894,4.193859494,0.251837659,0.515990287,0.697320775,60.66367068,14.95193556,58.96215897,9.799819462,18.19910121,23.97268592,39.34091286,20.01512013,0.944950546,0.360163448,0.19022294,1,1,2,0.062678063,0.024989177,0.5,-0.28316363,-0.035333128,-0.057933941,-0.006584975,0.274963189,-0.038306377,1.596535346,0.779135223,1.148475706,1.175080652,0.947874859,0.881397933,3.259674068,50.18724991,33.62857852,91.79165852,0,0.035406504,0.008652188,0.007632017,0.0081003
CN(C)c1ccc(/C=C/c2ccc(S(=O)(=O)CCCCCCOc3cc(NC=O)ccc3NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccccc7C6=O)cc5)cc3)C4=O)cc2)cc1,4.802222973,1.390406035,124.1962077,-1138.097686,-4.731865008,0.001940263,0.254027301,-0.053131494,0.045956977,-0.023548311,0.014770896,0.113006483,-0.057693865,0.002646199,-0.059094348,-0.003677955,0.144407503,0.063026766,-0.100247898,-0.031540788,0.012356855,1.144722427,1.059647478,0.840236147,0.973177785,1.179710317,0.966557281,0.965852613,0.580930408,1.083427284,0.953059374,1.028476893,1.150251894,1.151021152,1.084021581,0.921335681,0.932746714,0.466033124,-0.521991756,11.69327175,0.030128508,0.007993134,6,0,0.332701422,0.033783784,4.766907544,0.215388804,0.468278274,0.516339634,139.2295205,0,70.81887047,26.61410872,18.19910121,37.18502009,0,21.59153382,2.08682295,0.14249522,0.247735078,0,0,2,0.07977208,0.026763507,0.5,0.11780107,-0.01210184,-0.080970837,0.019069865,0.041361637,-0.027903038,0.913605664,0.943775638,1.050843802,0.961422213,1.018016773,1.03186045,4.043870962,54.28346142,56.57118384,115.2609743,55.41276218,0.038201507,0.011170064,0.008316955,0.006570228
CN(C(=O)c1cccc(N2C(=O)c3ccc(C=O)cc3C2=O)c1)c1ccc(N2C(=O)c3ccccc3C2=O)cc1,4.95439379,1.458177249,-8.385797868,-321.5986098,-5.113523463,0.003400721,0.223359971,-0.111013112,0.095145286,0.008779785,-0.023072747,0.04078741,-0.115112002,-0.024813234,-0.130815436,-0.08750252,0.298135489,0.046217066,-0.164234278,-0.043014888,-0.060812142,1.174504689,1.159788203,0.605781574,0.900235106,1.101388243,1.11465798,1.040153931,0.503544223,1.079950578,0.995230737,1.075726879,1.265405164,1.375962736,1.098610423,0.945667594,1.14340165,0.448294901,-0.398843654,11.69511186,0.026762832,0.005142936,0,0,0.438502674,0.0125,3.881163348,0.246658657,0.454107246,0.250082839,66.73003775,0,42.86973115,9.799819462,29.165378,28.7672231,39.56772157,16.95504475,1.604197783,0.165962616,0.267963505,0,0,2,0.086235489,0.027226703,0.5,0.214051806,-0.100266015,-0.035252559,-0.002913156,0.112509735,-0.195615439,0.939693415,1.077190485,1.116838652,1.073325857,1.023083822,1.064438915,3.259747648,51.28880727,33.62857852,73.77770974,0,0.040704225,0.012220195,0.010217727,0.007341783
CCOP(=O)(Cc1ccc(N2C(=O)c3ccc(C=O)cc3C2=O)cc1N1C(=O)c2ccccc2C1=O)OCC,5.284020785,1.501420131,-31.98560663,-377.2739195,1.309826555,0.004632625,0.321232281,-0.158143791,-0.0222826,-0.117536295,0.048672106,0.177764829,0.020683859,-0.105147291,-0.093427928,-0.074098594,0.302348384,0.080492982,-0.188379692,-0.082955704,0.026047151,1.302008729,1.117078357,0.815031653,1.095016684,0.951838651,1.206463369,1.00425507,0.59358811,1.305728733,0.891974311,0.954989795,1.205267354,1.404630887,1.145777736,0.870168466,1.106531235,0.467555692,-0.383921833,11.69511191,0.024743549,0.007268886,3,0,0.368231047,0,4.329534118,0.265886794,0.543536599,0.637254436,55.8091283,0,43.12864337,9.799819462,48.53093655,28.53773421,35.4597354,17.70696575,1.944062314,0.115990144,0.37416159,0,0,2,0.083333333,0.026944444,0.466666667,0.10830437,-0.074297903,-0.083555925,-0.01014781,0.116908593,-0.033475178,1.172434581,1.117917404,0.918510492,0.933299786,0.941792884,1.15237884,4.029494897,49.93499537,53.00425247,25.98020854,0,0.039174174,0.013623048,0.009959264,0.007864311
CCOCCOCCN1C(=O)c2ccc(C(=O)Oc3ccc4cc(OC(=O)c5ccc6c(c5)C(=O)NC6=O)ccc4c3)cc2C1=O,4.136346936,1.450228656,1.190442822,17.72061152,0.674227827,0.003278252,0.22843833,0.000337347,-0.155757103,-0.118261791,0.09822154,0.043066036,0.057809254,-0.051671867,-0.12071807,0.14616948,0.148311575,0.124302084,-0.11484315,-0.15607486,0.16110204,1.100508566,0.989667291,0.739295046,0.886128983,1.028938167,0.971558483,0.898957299,0.548187953,1.078118163,0.846589522,0.908988799,1.17571102,1.291665221,0.972659606,0.855429607,0.957180254,0.473823664,-0.461197889,11.66664182,0.029551012,0.00533335,5,0,0.397476341,0.02173913,4.456257252,0.24120114,0.522492321,0.260484549,78.35985631,10.21669833,73.43952349,4.899909731,36.39820241,28.7672231,41.05731979,19.66966902,1.398707224,0.091747971,0.407694081,0,0,2,0.079147641,0.026496416,0.5,0.078485963,-0.005418804,-0.044288334,0.000334851,-0.013261084,0.013525179,1.240007868,1.008522727,0.911765758,0.977638781,0.897672204,1.142108751,3.248878594,52.67252778,59.74611125,36.39820241,6.9237372,0.038381643,0.01067676,0.008569417,0.007430639
CCOCCOCCN1C(=O)c2ccc(C(=O)Oc3ccc(OC(=O)c4ccc5c(c4)C(=O)NC5=O)cc3)cc2C1=O,3.956035464,1.378952221,-38.40319533,-309.1676826,0.576972751,0.003736396,0.226197949,0.008222986,-0.085146634,-0.006304993,0.079537513,0.041305743,0.046661271,-0.060052596,-0.17101351,0.169968261,0.22073338,0.13539299,-0.147534785,-0.133337784,0.132552787,1.117984004,0.904638057,0.739702992,0.863173376,1.013519693,0.988260077,0.920387975,0.553531264,1.101429623,0.843953395,0.962507154,1.254441907,1.224577884,0.975213869,0.838561424,0.989003885,0.472820332,-0.461794756,11.69506127,0.030001031,0.005212912,5,0,0.386759582,0.023809524,4.347815809,0.25167832,0.542211458,0.496286174,67.58740788,10.21669833,73.43952349,4.899909731,60.66367068,28.7672231,33.02329574,16.10000181,1.512775563,0.100483538,0.446003134,0,0,2,0.082051282,0.028858586,0.5,0.050411068,-0.007105548,-0.04380308,-0.012022189,0.056100372,-0.046947192,1.11520041,1.041024323,0.912238665,0.952072932,0.945191116,1.119802519,3.248121688,49.69042214,59.74611125,0,6.9237372,0.037440801,0.012197528,0.008320795,0.006877335
CCOCCOCCN1C(=O)c2ccc(C(=O)Oc3ccc(OC(=O)c4ccc5c(c4)C(=O)NC5=O)c(-c4ccccc4)c3)cc2C1=O,4.271667817,1.452866966,2.416830008,-40.16103207,0.812308683,0.002955691,0.229658117,0.00712178,-0.079643721,-0.012271173,0.071868766,0.04327322,0.048428152,-0.047024734,-0.123860844,0.127713747,0.135280386,0.113377002,-0.109049923,-0.11412221,0.118104022,1.102462752,1.063820948,0.874681886,0.880347508,1.01082674,1.011291488,0.935402872,0.548746251,1.049166041,0.848125507,0.926054344,1.2077937,1.228874446,0.970086055,0.866731069,0.956675844,0.47425438,-0.461506731,11.68846863,0.029303888,0.005281926,5,0,0.379518072,0.020833333,4.45289614,0.235991727,0.50933946,0.220459046,67.08449231,10.21669833,73.43952349,4.899909731,54.59730362,28.7672231,46.32192409,21.71806894,1.512775563,0.087926414,0.390971543,0,0,2,0.08,0.026674383,0.5,0.050831825,0.001178573,-0.044991826,0.000638008,-0.012154096,0.014054969,1.201187879,1.025844737,0.908933758,0.945817939,0.934872893,1.104266364,3.249318755,53.10087906,59.74611125,24.26546827,12.99010427,0.033414815,0.009753213,0.007637303,0.007313269
CCOCCOCCN1C(=O)c2ccc(C(=O)Oc3ccc(-c4ccc(OC(=O)c5ccc6c(c5)C(=O)NC6=O)cc4)cc3)cc2C1=O,3.950696304,1.389742818,2.416830008,6.244972181,0.676668074,0.003082579,0.229658117,0.015265368,-0.14366062,-0.048170221,0.090530442,0.04327322,0.09079386,-0.047024734,-0.133399366,0.195539408,0.09523788,0.089023882,-0.109049923,-0.125436221,0.105681133,1.092427563,0.791371869,0.961466273,1.02645468,1.057035962,0.97065924,0.868246968,0.549286955,1.103184119,0.902081546,0.960037362,1.19212993,1.17060091,0.973494525,0.898819993,0.91522052,0.473558497,-0.460950981,11.68857705,0.030087239,0.005502257,5,0,0.379518072,0.020833333,4.358879732,0.235991727,0.50933946,0.562564309,78.71431087,10.21669833,73.43952349,16.02681271,36.39820241,28.7672231,42.97866546,17.79351838,1.305483664,0.087923553,0.390354604,0,0,2,0.082962963,0.029574653,0.5,-0.040988642,-0.017843339,-0.045539739,0.000638008,-0.003454247,0.033155909,1.125475326,1.091051084,0.899739678,0.904966178,0.953004244,1.114449792,3.248506105,49.94016854,59.74611125,48.53093655,6.9237372,0.034170579,0.013332938,0.006960138,0.005232983
