smile,value_min,value_max,value_mean,labled,Temperature,Frequency,ATSC1d,AATSC8i,MATS3dv,MATS5d,MATS7d,MATS1s,MATS3s,MATS1v,MATS7are,MATS1i,GATS8d,GATS8m,GATS2v,GATS6v,GATS8v,GATS7p,GATS7i,AXp-2d,SdssC,SaaaC,MINdO,IC1,CIC5,PEOE_VSA8,SMR_VSA6,SlogP_VSA3,EState_VSA3,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA10,n6HRing,naRing,JGI8,JGI10
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,0.043,0.056,0.0495,0,0.555555556,0.310250922,0.292045491,0.401260677,0.683645344,0,0.518264454,0.730613579,0.644421026,0.437169871,0.077714338,0.465375759,0.045439593,0.430156612,0.508091511,0.821732901,0.664020013,0.509876915,0.588005641,0.217233741,0.886389823,0.297804484,0,0.212794753,0.119493411,0.228910183,0.370818622,0.224523341,0.716874622,0.712097725,0.0915416,0,0.091003871,0,0.222222222,0.038744753,0.267342603
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,0.022,0.022,0.022,0,0.228888889,0.310250922,0.292045491,0.401260677,0.683645344,0,0.518264454,0.730613579,0.644421026,0.437169871,0.077714338,0.465375759,0.045439593,0.430156612,0.508091511,0.821732901,0.664020013,0.509876915,0.588005641,0.217233741,0.886389823,0.297804484,0,0.212794753,0.119493411,0.228910183,0.370818622,0.224523341,0.716874622,0.712097725,0.0915416,0,0.091003871,0,0.222222222,0.038744753,0.267342603
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,0.014,0.014,0.014,0,0.266666667,0.310250922,0.292045491,0.401260677,0.683645344,0,0.518264454,0.730613579,0.644421026,0.437169871,0.077714338,0.465375759,0.045439593,0.430156612,0.508091511,0.821732901,0.664020013,0.509876915,0.588005641,0.217233741,0.886389823,0.297804484,0,0.212794753,0.119493411,0.228910183,0.370818622,0.224523341,0.716874622,0.712097725,0.0915416,0,0.091003871,0,0.222222222,0.038744753,0.267342603
O=C1NC(=O)c2cc(C(c3ccc4c(c3)C(=O)N(c3cccc(C(F)(F)F)c3)C4=O)(C(F)(F)F)C(F)(F)F)ccc21,0.0013,0.0013,0.0013,0,0.388888889,0.387813653,0,0.375097897,0.534170643,0.981665682,0.248553699,0.526579116,0.205908271,0.713491791,0.723967327,0.875784927,0.001685236,0.56164961,0.241780884,0.510605096,0.473924673,0.49175948,0.662962775,0.771503709,0.654342316,0.297804484,0.364431833,0.667384665,0.277901642,0,0.185409311,0.405324285,0.639970512,0.06241088,0,0,0.75,0,0.111111111,0.358254828,1
O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1,0.013,0.013,0.013,0,0.384444444,0.853190037,0.072188699,0.66310692,0.181779445,0.524099437,0.61796747,0.648220746,0.126644984,0.16088188,0.522951828,0.099523264,0.442524126,1,0.893485873,0.950951295,0.409060126,0.559085215,0.739410847,0.869314493,0.904602055,0.297804484,0.313680206,0.043223543,0.625904682,1,0.370818622,0.895144998,0.312890604,0.28483909,0.183083201,0,0,0,0,0.712506819,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccccc4)c(=O)c3cc12,0.00165,0.00165,0.00165,0,0.384444444,0.310250922,0.083432704,0,0.510919714,0.179901785,0.562618097,0.627737773,0.073880782,0.704175756,0.471519397,0.599116551,0.549550831,0.456676895,0.364443625,0.831422268,1,0.425985461,0.376159122,0.139090992,1,0.997333282,0.294463393,0.169404077,0.235419854,0,0,0,0.099998331,0.356048863,0,0.106360699,0,0,0.222222222,0.27068764,0.637695455
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccccc4)c(=O)c3cc12,0.001,0.001,0.001,0,0.666666667,0.310250922,0.083432704,0,0.510919714,0.179901785,0.562618097,0.627737773,0.073880782,0.704175756,0.471519397,0.599116551,0.549550831,0.456676895,0.364443625,0.831422268,1,0.425985461,0.376159122,0.139090992,1,0.997333282,0.294463393,0.169404077,0.235419854,0,0,0,0.099998331,0.356048863,0,0.106360699,0,0,0.222222222,0.27068764,0.637695455
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccccc4)c(=O)c3cc12,0.00075,0.00075,0.00075,0,0.777777778,0.310250922,0.083432704,0,0.510919714,0.179901785,0.562618097,0.627737773,0.073880782,0.704175756,0.471519397,0.599116551,0.549550831,0.456676895,0.364443625,0.831422268,1,0.425985461,0.376159122,0.139090992,1,0.997333282,0.294463393,0.169404077,0.235419854,0,0,0,0.099998331,0.356048863,0,0.106360699,0,0,0.222222222,0.27068764,0.637695455
O=c1[nH]c(=O)c2cc3c(=O)n(-c4cccc(S(=O)(=O)c5ccccc5)c4)c(=O)c3cc12,0.00165,0.00165,0.00165,0,0.384444444,0.310250922,0.133812659,0.283899561,0.717935929,0.497053456,0.602560316,0.207891265,0.50821546,0.79330965,0.701011194,0.714337711,0.356643778,0.602386648,0.347906921,0.667157284,0.590456005,0.026762082,0.434384298,0.280056287,1,0.290557187,0.412133291,0.382952106,0.187970891,0,0,0.343989146,0,0.213629318,0,0.106360699,0.159776029,0,0.333333333,0.244711146,0.869886007
O=c1[nH]c(=O)c2cc3c(=O)n(-c4cccc(S(=O)(=O)c5ccccc5)c4)c(=O)c3cc12,0.001,0.001,0.001,0,0.666666667,0.310250922,0.133812659,0.283899561,0.717935929,0.497053456,0.602560316,0.207891265,0.50821546,0.79330965,0.701011194,0.714337711,0.356643778,0.602386648,0.347906921,0.667157284,0.590456005,0.026762082,0.434384298,0.280056287,1,0.290557187,0.412133291,0.382952106,0.187970891,0,0,0.343989146,0,0.213629318,0,0.106360699,0.159776029,0,0.333333333,0.244711146,0.869886007
