smile,value_min,value_max,value_mean,labled,testTemperature,testfrequency,MATS3dv,MATS1s,MATS3m,MATS6v,MATS7are,MATS1i,GATS8m,GATS8v,GATS1i,GATS7i,SaaaC,AETA_beta_ns_d,IC2,MIC5,EState_VSA4,EState_VSA6,EState_VSA7,EState_VSA10,JGI10,CSC1=CC=CC=C1,COC1=CC=C2CNCC2=C1,CC(C)=O,CC1=CC=C2CN(C)CC2=C1,CC1=CC=CC(N)=C1,CCC1=CC=C(N)C=C1,CN1CC2=CC=C(O)C=C2C1,FCC1=CC=CC=C1,C1=CC=C(CC2=CC=CC=C2)C=C1,CC1=CC=C(O)C=C1
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Sc5ccccc5)cc4)c(=O)c3cc12,0.00075,0.00075,0.00075,0,0.777777778,0.310250922,0.704580166,0.632769586,0.085780775,0.24257143,0.596929263,0.873272905,0.118804414,0.228924565,0.219862591,0.594962794,0.94883692,0.948275862,0.291173035,0.364746182,0.218610882,0.280485894,0.320395601,0,0.454920944,2,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Sc5ccc(-n6c(=O)c7cc8c(=O)n(-c9ccc(Oc%10ccccc%10)cc9)c(=O)c8cc7c6=O)cc5)cc4)c(=O)c3cc12,0.000929,0.002682,0.0017592,0,0.384444444,0.310250922,0.51415385,0.625012592,0.253239324,0.24973457,0.692708773,0.516626809,0.209818679,0.226677568,0.356892666,0.664439523,0.606558905,0.948275862,0.419913825,0.615260649,0.357684994,0.996936815,0.1373124,0.364015485,0.336892891,2,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccccc5)cc4)c(=O)c3cc12,0.00165,0.00165,0.00165,0,0.384444444,0.310250922,0.689981724,0.207891265,0.169112996,0.253823057,0.540308786,0.714337711,0,0.134461308,0.370710497,0.656769984,0.423294353,0.709677419,0.363335766,0.417992302,0.069537056,0.213629318,0,0.159776029,0.765149511,2,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccccc5)cc4)c(=O)c3cc12,0.001,0.001,0.001,0,0.666666667,0.310250922,0.689981724,0.207891265,0.169112996,0.253823057,0.540308786,0.714337711,0,0.134461308,0.370710497,0.656769984,0.423294353,0.709677419,0.363335766,0.417992302,0.069537056,0.213629318,0,0.159776029,0.765149511,2,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccccc5)cc4)c(=O)c3cc12,0.00075,0.00075,0.00075,0,0.777777778,0.310250922,0.689981724,0.207891265,0.169112996,0.253823057,0.540308786,0.714337711,0,0.134461308,0.370710497,0.656769984,0.423294353,0.709677419,0.363335766,0.417992302,0.069537056,0.213629318,0,0.159776029,0.765149511,2,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,0.0006,0.012,0.0060625,0,0.384444444,0.310250922,0.312090591,0.539541692,0.46299906,0.150813596,0.80236965,0.589094771,0.175261163,0.321984834,0.378187515,0.566877306,0.834526624,0.948275862,0.291173035,0.296890254,0.069537056,0.28483909,0.228854001,0,0.454920944,0,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,0.001,0.001,0.001,0,0.666666667,0.310250922,0.312090591,0.539541692,0.46299906,0.150813596,0.80236965,0.589094771,0.175261163,0.321984834,0.378187515,0.566877306,0.834526624,0.948275862,0.291173035,0.296890254,0.069537056,0.28483909,0.228854001,0,0.454920944,0,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,0.00075,0.00075,0.00075,0,0.777777778,0.310250922,0.312090591,0.539541692,0.46299906,0.150813596,0.80236965,0.589094771,0.175261163,0.321984834,0.378187515,0.566877306,0.834526624,0.948275862,0.291173035,0.296890254,0.069537056,0.28483909,0.228854001,0,0.454920944,0,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Cc5ccccc5)cc4)c(=O)c3cc12,0.00165,0.00165,0.00165,0,0.384444444,0.310250922,0.565145846,0.642987764,0.397012949,0.355535692,0.586388197,0.784238459,0.532413022,0.378453065,0.317941796,0.64284746,0.971698979,0.75862069,0.363335766,0.236457695,0.252005392,0.142419545,0.320395601,0,0.454920944,0,0,0,0,0,1,0,0,1,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Cc5ccccc5)cc4)c(=O)c3cc12,0.001,0.001,0.001,0,0.666666667,0.310250922,0.565145846,0.642987764,0.397012949,0.355535692,0.586388197,0.784238459,0.532413022,0.378453065,0.317941796,0.64284746,0.971698979,0.75862069,0.363335766,0.236457695,0.252005392,0.142419545,0.320395601,0,0.454920944,0,0,0,0,0,1,0,0,1,0
