smiles,p_min,p_max,p_mean,d_min,d_max,d_mean,testTemperature,testFrequency
[H]c1cccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(-n6c(=O)c7cc8c(=O)n([H])c(=O)c8cc7c6=O)c5)c4C#N)c3C#N)c2C#N)c1,4.61,4.61,4.61,0.0543,0.0543,0.0543,150,1.0
[H]c1cccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(-n6c(=O)c7cc8c(=O)n([H])c(=O)c8cc7c6=O)c5)c4C#N)c3C#N)c2C#N)c1,4.26,4.26,4.26,0.0456,0.0456,0.0456,150,10.0
[H]c1cccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(-n6c(=O)c7cc8c(=O)n([H])c(=O)c8cc7c6=O)c5)c4C#N)c3C#N)c2C#N)c1,4.01,4.01,4.01,0.0391,0.0391,0.0391,150,100.0
[H]c1cccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(-n6c(=O)c7cc8c(=O)n([H])c(=O)c8cc7c6=O)c5)c4C#N)c3C#N)c2C#N)c1,4.13,4.13,4.13,0.0354,0.0354,0.0354,100,1.0
[H]c1cccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(-n6c(=O)c7cc8c(=O)n([H])c(=O)c8cc7c6=O)c5)c4C#N)c3C#N)c2C#N)c1,3.82,3.82,3.82,0.0286,0.0286,0.0286,150,1000.0
[H]c1cccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(-n6c(=O)c7cc8c(=O)n([H])c(=O)c8cc7c6=O)c5)c4C#N)c3C#N)c2C#N)c1,3.9,3.9,3.9,0.0265,0.0265,0.0265,100,10.0
[H]c1cccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(-n6c(=O)c7cc8c(=O)n([H])c(=O)c8cc7c6=O)c5)c4C#N)c3C#N)c2C#N)c1,3.81,3.81,3.81,0.0218,0.0218,0.0218,50,1.0
[H]c1cccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(-n6c(=O)c7cc8c(=O)n([H])c(=O)c8cc7c6=O)c5)c4C#N)c3C#N)c2C#N)c1,3.78,3.78,3.78,0.0202,0.0202,0.0202,100,100.0
[H]c1cccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(-n6c(=O)c7cc8c(=O)n([H])c(=O)c8cc7c6=O)c5)c4C#N)c3C#N)c2C#N)c1,3.7,3.7,3.7,0.0194,0.0194,0.0194,150,10000.0
[H]c1cccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(-n6c(=O)c7cc8c(=O)n([H])c(=O)c8cc7c6=O)c5)c4C#N)c3C#N)c2C#N)c1,3.68,3.68,3.68,0.0151,0.0151,0.0151,100,1000.0
