smile,value_min,value_max,value_mean,labled,testTemperature,testfrequency,VR3_A,AATS6p,AATS8i,ATSC6m,ATSC1are,ATSC3p,AATSC3s,AATSC8v,AATSC3se,MATS3dv,MATS1d,MATS7d,MATS6v,MATS1se,MATS3are,MATS7are,MATS1p,MATS6p,MATS5i,GATS3dv,GATS8dv,GATS2d,GATS5d,GATS4m,GATS7m,GATS8m,GATS2v,GATS4are,GATS5are,GATS6are,GATS2p,GATS4p,GATS5p,GATS8p,GATS4i,GATS6i,C1SP3,SsssN,ETA_shape_y,AETA_dBeta,PEOE_VSA7,SMR_VSA3,SlogP_VSA2,SlogP_VSA5,EState_VSA7,AMID_C,AMID_N,AMID_X,nFaRing,nFAHRing,TopoPSA,JGI3,mZagreb2
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(=O)c4cccc(C(=O)c5ccc(Oc6ccc(N7C(=O)c8ccccc8C7=O)cc6)cc5)c4)cc3)cc1)C2=O,3.1,3.2,3.15,0,0.388888889,0.446546712,0.31541242,0.633573455,0.161362473,0.603757589,0.867543993,0.543890108,0.60148181,0.83853271,0.40754723,0.249284987,0.378143494,0.752549248,0.285382991,0.600105756,0.325211476,0.674333964,0.28478107,0.269730187,0.714304747,0.666767488,0.336333332,0.547913678,0.360997708,0.717374115,0.378138477,0.278258624,0.759533458,0.801195958,0.500165081,0.302137448,0.738705842,0.275409775,0.354427249,0.407801358,0.35782333,0.495807448,0,0.598833953,0.316489173,0.870189485,0.476681105,0,0.430257077,0.379054071,0,0.726032414,0.077496501,0,0,0.5,0.297493488,0.230743177,0.353749284
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(=O)c4ccc(Oc5ccc(N6C(=O)c7ccccc7C6=O)cc5)cc4)cc3)cc1)C2=O,3.88,3.88,3.88,0,0.384444444,0.25516955,0.249569496,0.604224866,0.190173798,0.602041022,0.859192582,0.601578466,0.574386656,0.919279541,0.376403562,0.237911926,0.38433598,0.834224057,0.223174803,0.560295114,0.276848652,0.723157098,0.212733663,0.217354675,0.754769267,0.683978336,0.277511335,0.525290687,0.366787084,0.719226874,0.371869095,0.192614108,0.757422379,0.772819048,0.508314789,0.313791252,0.747602439,0.305397264,0.33978872,0.384467812,0.386362343,0.522824927,0,0.602212449,0.320502675,0.846708136,0.452777216,0,0.353332818,0.306892372,0,0.689197945,0.129846711,0,0,0.5,0.224603954,0.257380736,0.282770464
O=Cc1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccccc4C3=O)cc1)C2=O,3.87,3.87,3.87,0,0.382222222,0.25516955,0.040261323,0.648860572,0.169000741,0.590457851,0.852507406,0.627492911,0.535597974,0.86856898,0.442163987,0.413444995,0.47973219,0.884564431,0.121743851,0.545987807,0.427903515,0.738937517,0.202178587,0.308566391,0.886776383,0.423711746,0,0.411751139,0.46056451,0.603167108,0.473530445,0.091792573,0.591224945,0.625967919,0.802226049,0.679368105,0.451533592,0.41769678,0.269200978,0.591493704,0.490554664,0.486333279,0,0.57767702,0.482524517,0.763704297,0.165930537,0,0.27640856,0.234730672,0,0.518629174,0.41800688,0,0,0.5,0.072889534,0.559598383,0.088151116
O=Cc1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccccc4C3=O)cc1)C2=O,3.75,3.75,3.75,0,0.382222222,0.446546712,0.040261323,0.648860572,0.169000741,0.590457851,0.852507406,0.627492911,0.535597974,0.86856898,0.442163987,0.413444995,0.47973219,0.884564431,0.121743851,0.545987807,0.427903515,0.738937517,0.202178587,0.308566391,0.886776383,0.423711746,0,0.411751139,0.46056451,0.603167108,0.473530445,0.091792573,0.591224945,0.625967919,0.802226049,0.679368105,0.451533592,0.41769678,0.269200978,0.591493704,0.490554664,0.486333279,0,0.57767702,0.482524517,0.763704297,0.165930537,0,0.27640856,0.234730672,0,0.518629174,0.41800688,0,0,0.5,0.072889534,0.559598383,0.088151116
O=Cc1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccccc4C3=O)cc1)C2=O,2.684,3.13,2.907,0,0.384444444,0.25516955,0.040261323,0.648860572,0.169000741,0.590457851,0.852507406,0.627492911,0.535597974,0.86856898,0.442163987,0.413444995,0.47973219,0.884564431,0.121743851,0.545987807,0.427903515,0.738937517,0.202178587,0.308566391,0.886776383,0.423711746,0,0.411751139,0.46056451,0.603167108,0.473530445,0.091792573,0.591224945,0.625967919,0.802226049,0.679368105,0.451533592,0.41769678,0.269200978,0.591493704,0.490554664,0.486333279,0,0.57767702,0.482524517,0.763704297,0.165930537,0,0.27640856,0.234730672,0,0.518629174,0.41800688,0,0,0.5,0.072889534,0.559598383,0.088151116
O=Cc1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccccc4C3=O)cc1)C2=O,2.1,3.5,2.74,0,0.388888889,0.446546712,0.040261323,0.648860572,0.169000741,0.590457851,0.852507406,0.627492911,0.535597974,0.86856898,0.442163987,0.413444995,0.47973219,0.884564431,0.121743851,0.545987807,0.427903515,0.738937517,0.202178587,0.308566391,0.886776383,0.423711746,0,0.411751139,0.46056451,0.603167108,0.473530445,0.091792573,0.591224945,0.625967919,0.802226049,0.679368105,0.451533592,0.41769678,0.269200978,0.591493704,0.490554664,0.486333279,0,0.57767702,0.482524517,0.763704297,0.165930537,0,0.27640856,0.234730672,0,0.518629174,0.41800688,0,0,0.5,0.072889534,0.559598383,0.088151116
O=Cc1ccc2c(c1)C(=O)N(c1ccc(N(c3ccccc3)c3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3.16,3.16,3.16,0,0.384444444,0.701716261,0.093139095,0.617847285,0.263000924,0.562871471,0.889091125,0.682545864,0.620590769,0.988563055,0.472790137,0.381250067,0.522983502,0.953980312,0.194505448,0.60961486,0.413488356,0.671829605,0.213217231,0.19399258,0.781678595,0.526880578,0.14038081,0.443170877,0.374805281,0.532525826,0.415420473,0.123695963,0.738912943,0.583377425,0.516009463,0.350378647,0.638068212,0.243451748,0.363903335,0.292168453,0.344330759,0.572236791,0,0.992185236,0.327152011,0.833373676,0.309353877,0,0.27640856,0.234730672,0.249586079,0.709215821,0.456080578,0,0,0.5,0.086724455,0.410110853,0.204922725
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3.39,3.39,3.39,0,0.384444444,0.446546712,0.083905519,0.649351032,0.272011149,0.558878919,0.886171393,0.517161697,0.60566516,0.756649543,0.511111794,0.420205641,0.455203292,0.626750698,0.232727873,0.643767751,0.501385204,0.530052927,0.336756616,0.342458246,0.778700105,0.427042239,0.482812141,0.523712766,0.419293052,0.530297874,0.497196508,0.496122274,0.677410417,0.504217097,0.654759375,0.592818736,0.529558926,0.419615985,0.266392249,0.370987329,0.460530569,0.399937414,0,0.620550318,0.376276625,0.794018999,0.235075525,0,0.27640856,0.285161803,0.12786635,0.7020651,0.289030325,0,0,0.5,0.072889534,0.405394705,0.14997138
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3,3,3,0,0.384444444,0.25516955,0.083905519,0.649351032,0.272011149,0.558878919,0.886171393,0.517161697,0.60566516,0.756649543,0.511111794,0.420205641,0.455203292,0.626750698,0.232727873,0.643767751,0.501385204,0.530052927,0.336756616,0.342458246,0.778700105,0.427042239,0.482812141,0.523712766,0.419293052,0.530297874,0.497196508,0.496122274,0.677410417,0.504217097,0.654759375,0.592818736,0.529558926,0.419615985,0.266392249,0.370987329,0.460530569,0.399937414,0,0.620550318,0.376276625,0.794018999,0.235075525,0,0.27640856,0.285161803,0.12786635,0.7020651,0.289030325,0,0,0.5,0.072889534,0.405394705,0.14997138
O=Cc1ccc2c(c1)C(=O)N(c1ccc(C(=O)Nc3ccc(Oc4ccc(NC(=O)c5ccc(NC(=O)Nc6ccc(Cc7ccc(NC(=O)Nc8ccc(C(=O)Nc9ccc(Oc%10ccc(NC(=O)c%11ccc(N%12C(=O)c%13ccccc%13C%12=O)cc%11)cc%10)cc9)cc8)cc7)cc6)cc5)cc4)cc3)cc1)C2=O,3.17,3.19,3.18,0,0.384444444,0.446546712,1,0.623638177,0.318198205,0.364418209,0.366547363,0.192225426,0.499744737,0.642435019,0.370616146,0.16591872,0.247147969,0.643167465,0.359827041,0.162333112,0.169446761,0.538227028,0.571638391,0.380382665,0.83425909,0.73206666,0.175421843,0.70155733,0.341067308,0.623550353,0.431538065,0.279448806,0.982940461,0.639921589,0.556210778,0.457130144,0.922389789,0.450668712,0.219829648,0.513190174,0.530350114,0.369993062,0,0.583255669,0.201961838,0.823282925,1,0,0.751141988,0.47294634,0.12786635,0.585733802,0.61818839,0,0,0.5,1,0.020455521,0.772753291
