smile,value_min,value_max,value_mean,labled,testTemperature,testfrequency,AATS6p,MATS8m,MATS8i,GATS4s,GATS8m,GATS5are,GATS7are,ETA_shape_y,IC2,EState_VSA3,EState_VSA8,c1ccc(-c2ccccn2)cc1,COc1ccccn1,C,CN1CCCC1=O,CNc1ccc(O)cc1,Nc1cccc(O)c1,Cc1cccc(N)c1,Cc1ccccc1,Cc1cccc(-c2ccccc2)n1,CC1CCc2ccccc21,Cc1cc(-c2ccccc2)ccn1,CPc1ccccc1,CNC,Nc1cccc2c1CCC2,CCC1CCCCC1,NCCN,S,FCF,CC(C)=O,CN1CC=CC1=O,COc1ccc(N)cn1,Cc1cc(N)ccc1N,O=C1NCc2ccccc21,O=[SH]c1ccccc1,CN,CNc1ccccc1,c1ccccc1,NC=O,CNC=O,COc1ccc(N)cc1,c1ccc(Oc2ccccc2)cc1,Cc1ccc(N)c(C)c1,COc1ccccc1C,CS,Cc1ccc(O)c(C)c1,c1ccc2c(c1)Cc1cc3c(cc1O2)CNC3,O=C1CCCN1,Fc1ccccc1,c1ccc(N2Cc3ccccc3C2)cc1,CSc1ccccc1,COc1ccc2c(c1)CNC2,CC(C)C,N,NCc1ccccc1,Sc1ccccc1,c1ccc(Oc2ccccn2)cc1,c1ccc2c(c1)CNC2,Cc1ccc2c(c1)CN(C)C2,CCCC,CCCN,COc1ccc(O)cc1,O=C1NC(=O)c2ccccc21,c1ccc(Cc2ccccc2)cc1,Cc1ccccc1O,CSc1ccc(O)cc1,CC1CCCC(C)C1,Cc1ccnc(C)c1,CNc1ccc(N)cc1,Oc1ccccc1,Cc1ccc(N)cc1,CN1Cc2ccc(O)cc2C1,O=Cc1ccc2c(c1)CNC2,O=C1NCc2cc(O)ccc21,Cc1ccc(O)cc1,CCc1ccc2c(c1)CNC2,CNc1ccc(C)cc1,CCc1cccc(C)c1,Nc1cccnc1,CCNC,COc1cccc(N)c1,Oc1ccccn1,O=C1NCc2ccc(O)cc21,CCc1ccc(O)cc1,CNCN,COc1ccc(C)cc1,Oc1ccccc1-c1ccccc1,CCC,Cc1ccccn1,NCC=O,C=O,Cc1cc(N)ccc1O,O=CNc1ccccc1,Oc1ccc(S)cc1,Nc1ccc(O)cc1,O=C1C=CCN1c1ccccc1,CNc1ccc(S)cc1,Cc1cnc2ccccc2n1,CC(F)F
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(=O)c4cccc(C(=O)c5ccc(Oc6ccc(N7C(=O)c8ccccc8C7=O)cc6)cc5)c4)cc3)cc1)C2=O,3.1,3.2,3.15,0,0.388888889,0.446546712,0.633573455,0.743732965,0.644065274,0.888533062,0.278258624,0.500165081,0.181957011,0.316489173,0.381688892,0.69395867,0,0,0,49,0,4,0,0,9,0,0,0,0,6,0,0,0,0,0,2,0,0,0,4,0,6,4,7,4,8,2,2,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,2,1,0,0,0,2,2,0,0,0,0,0,4,0,0,1,0,2,0,0,2,0,8,0,0,0,2,0,2,0,2,0,0,7,0,4,0,2,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(=O)c4ccc(Oc5ccc(N6C(=O)c7ccccc7C6=O)cc5)cc4)cc3)cc1)C2=O,3.88,3.88,3.88,0,0.384444444,0.25516955,0.604224866,0.839301924,0.655870542,0.806315037,0.192614108,0.508314789,0.163077954,0.320502675,0.368276896,0.596957336,0,0,0,42,0,4,0,0,7,0,0,0,0,6,0,0,0,0,0,1,0,0,0,4,0,6,4,6,4,8,2,2,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,2,1,0,0,0,2,1,0,0,0,0,0,4,0,0,1,0,2,0,0,0,0,8,0,0,0,2,0,2,0,1,0,0,6,0,4,0,2,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccccc4C3=O)cc1)C2=O,3.87,3.87,3.87,0,0.382222222,0.25516955,0.648860572,1,0.290070601,0.643438894,0.091792573,0.802226049,0.094143265,0.482524517,0.113107892,0.299465242,0,0,0,23,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,6,4,3,4,8,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,2,1,0,0,0,2,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccccc4C3=O)cc1)C2=O,3.75,3.75,3.75,0,0.382222222,0.446546712,0.648860572,1,0.290070601,0.643438894,0.091792573,0.802226049,0.094143265,0.482524517,0.113107892,0.299465242,0,0,0,23,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,6,4,3,4,8,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,2,1,0,0,0,2,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccccc4C3=O)cc1)C2=O,2.684,3.13,2.907,0,0.384444444,0.25516955,0.648860572,1,0.290070601,0.643438894,0.091792573,0.802226049,0.094143265,0.482524517,0.113107892,0.299465242,0,0,0,23,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,6,4,3,4,8,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,2,1,0,0,0,2,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccccc4C3=O)cc1)C2=O,2.1,3.5,2.74,0,0.388888889,0.446546712,0.648860572,1,0.290070601,0.643438894,0.091792573,0.802226049,0.094143265,0.482524517,0.113107892,0.299465242,0,0,0,23,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,6,4,3,4,8,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,2,1,0,0,0,2,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1ccc(N(c3ccccc3)c3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3.16,3.16,3.16,0,0.384444444,0.701716261,0.617847285,0.8887754,0.661105174,0.546717071,0.123695963,0.516009463,0.099273821,0.327152011,0.044082302,0.299465242,0,0,0,35,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,9,10,5,4,8,0,0,0,0,0,0,0,0,0,2,0,0,0,3,4,0,0,2,1,0,0,0,2,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3.39,3.39,3.39,0,0.384444444,0.446546712,0.649351032,0.5674528,0.721686668,0.534949046,0.496122274,0.654759375,0.164835665,0.376276625,0.349114884,0.355440229,0,0,0,30,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,6,4,4,4,8,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0,8,0,0,0,0,0,0,0,1,0,0,5,0,4,0,0,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3,3,3,0,0.384444444,0.25516955,0.649351032,0.5674528,0.721686668,0.534949046,0.496122274,0.654759375,0.164835665,0.376276625,0.349114884,0.355440229,0,0,0,30,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,6,4,4,4,8,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0,8,0,0,0,0,0,0,0,1,0,0,5,0,4,0,0,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1ccc(C(=O)Nc3ccc(Oc4ccc(NC(=O)c5ccc(NC(=O)Nc6ccc(Cc7ccc(NC(=O)Nc8ccc(C(=O)Nc9ccc(Oc%10ccc(NC(=O)c%11ccc(N%12C(=O)c%13ccccc%13C%12=O)cc%11)cc%10)cc9)cc8)cc7)cc6)cc5)cc4)cc3)cc1)C2=O,3.17,3.19,3.18,0,0.384444444,0.446546712,0.623638177,0.720851922,0.513655387,0.651654308,0.279448806,0.556210778,0.219529742,0.201961838,0.63397523,1,0.392845128,0,0,84,0,4,0,0,11,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,22,12,12,12,16,4,2,0,0,0,0,0,0,0,2,0,0,0,10,8,0,0,2,1,0,0,0,2,1,0,0,0,0,0,4,6,0,1,0,0,0,8,0,0,12,0,0,0,0,4,0,0,1,0,0,11,0,12,0,4,0,0,0,0
