smile,value_min,value_max,value_mean,labled,testTemperature,testfrequency
O=C1NC(=O)c2cc(-c3ccc4c(c3)C(=O)N(c3ccccc3)C4=O)ccc21,3.09,3.36,3.176,0,23,6
O=C1NC(=O)c2cc(-c3ccc4c(c3)C(=O)N(c3ccccc3)C4=O)ccc21,2.76,3.5,3.13,0,25,13
O=C1NC(=O)c2cc(-c3ccc4c(c3)C(=O)N(c3ccccc3)C4=O)ccc21,3.12,3.12,3.12,0,20,6
O=C1NC(=O)c2cc(-c3ccc4c(c3)C(=O)N(c3ccccc3)C4=O)ccc21,3.051,3.051,3.051,0,25,2
O=C1NC(=O)c2cc(-c3ccc4c(c3)C(=O)N(c3ccccc3)C4=O)ccc21,3.03,3.03,3.03,0,21,5
O=C1NC(=O)c2cc(-c3ccc4c(c3)C(=O)N(c3ccccc3)C4=O)ccc21,2.6,3.413,3.012571429,0,23,3
O=C1NC(=O)c2cc(-c3ccc4c(c3)C(=O)N(c3ccccc3)C4=O)ccc21,2.5,3,2.805,0,22,6.698970004
O=C1NC(=O)c2cc(-c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccccc5)cc3)C4=O)ccc21,3.57,3.57,3.57,0,22,3
O=C1NC(=O)c2cc(-c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccccc5)cc3)C4=O)ccc21,3.51,3.51,3.51,0,22,6
O=C1NC(=O)c2cc(-c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccccc5)cc3)C4=O)ccc21,2.88,3.5,3.11,0,23,3
O=C1NC(=O)c2cc(-c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(S(=O)(=O)c6ccc(Oc7ccccc7)c(-c7ccc(C(F)(F)F)cc7)c6)cc5-c5ccc(C(F)(F)F)cc5)cc3)C4=O)ccc21,2.9,2.9,2.9,0,23,6
O=C1NC(=O)c2cc(C(c3ccc4c(c3)C(=O)N(c3ccccc3)C4=O)(C(F)(F)F)C(F)(F)F)ccc21,2.56,2.66,2.61,0,25,6
O=C1NC(=O)c2cc(C(c3ccc4c(c3)C(=O)N(c3cccc(-c5cc(-c6ccccc6)cc(C(c6ccccc6)(c6ccccc6)c6ccccc6)c5)c3)C4=O)(C(F)(F)F)C(F)(F)F)ccc21,2.33,2.33,2.33,0,20,4
O=C1NC(=O)c2cc(C(c3ccc4c(c3)C(=O)N(c3cccc(C(F)(F)F)c3)C4=O)(C(F)(F)F)C(F)(F)F)ccc21,2.27,2.27,2.27,0,25,6
O=C1NC(=O)c2cc(C(c3ccc4c(c3)C(=O)N(c3ccc(-c5cc(-c6ccccc6)cc(C(c6ccccc6)(c6ccccc6)c6ccccc6)c5)cc3)C4=O)(C(F)(F)F)C(F)(F)F)ccc21,2.56,2.56,2.56,0,20,4
O=C1C=CC(=O)N1c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)CCC5=O)cc4C(F)(F)F)cc3)(C(F)(F)F)C(F)(F)F)cc2)c(C(F)(F)F)c1,2.8,2.8,2.8,0,25,6
O=C1C=CC(=O)N1c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)CCC5=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,3,3,3,0,25,6
O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1,3.09,3.09,3.09,0,23,10
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccccc4)c(=O)c3cc12,3.184,3.184,3.184,0,25,4.602059991
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccccc4)c(=O)c3cc12,2.501,3.4,3.074666667,0,23,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccccc4)c(=O)c3cc12,3,3,3,0,150,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccccc4)c(=O)c3cc12,3,3,3,0,200,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4cccc(S(=O)(=O)c5ccccc5)c4)c(=O)c3cc12,3.4,3.4,3.4,0,23,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4cccc(S(=O)(=O)c5ccccc5)c4)c(=O)c3cc12,3,3,3,0,150,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4cccc(S(=O)(=O)c5ccccc5)c4)c(=O)c3cc12,3,3,3,0,200,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4cccc(P(=O)(c5ccccc5)c5ccc(Oc6ccc(C78CC9CC(CC(C9)C7)C8)cc6)cc5)c4)c(=O)c3cc12,3.01,3.01,3.01,0,23,6
O=c1[nH]c(=O)c2cc3c(=O)n(-c4cccc(Oc5ccc(-c6ccc(Oc7ccccc7)cc6)cc5)c4)c(=O)c3cc12,3.32,3.32,3.32,0,270,4
O=c1[nH]c(=O)c2cc3c(=O)n(-c4cccc(Oc5ccc(-c6ccc(Oc7ccccc7)cc6)cc5)c4)c(=O)c3cc12,3.29,3.29,3.29,0,285,4
O=c1[nH]c(=O)c2cc3c(=O)n(-c4cccc(Oc5ccc(-c6ccc(Oc7ccccc7)cc6)cc5)c4)c(=O)c3cc12,3.2,3.2,3.2,0,25,6
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Sc5ccccc5)cc4)c(=O)c3cc12,3.4,3.4,3.4,0,23,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Sc5ccccc5)cc4)c(=O)c3cc12,3,3,3,0,150,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Sc5ccccc5)cc4)c(=O)c3cc12,3,3,3,0,200,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Sc5ccc(-n6c(=O)c7cc8c(=O)n(-c9ccc(Oc%10ccccc%10)cc9)c(=O)c8cc7c6=O)cc5)cc4)c(=O)c3cc12,3.44775,3.60416,3.529796,0,23,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccccc5)cc4)c(=O)c3cc12,3.4,3.4,3.4,0,23,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccccc5)cc4)c(=O)c3cc12,3,3,3,0,150,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccccc5)cc4)c(=O)c3cc12,3,3,3,0,200,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5Oc5ccccc5)cc4)c(=O)c3cc12,3.96,3.96,3.96,0,23,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,3.45,5.17,4.092727273,0,25,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,3.65,3.65,3.65,0,22,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,3.23,4.3,3.62875,0,23,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,3.62,3.62,3.62,0,23,4.698970009
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,3.6,3.6,3.6,0,23,2
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,3.57,3.57,3.57,0,-63,4
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,3.11,3.68,3.48,0,23,4
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,3.44,3.44,3.44,0,25,7
