smile,value_min,value_max,value_mean,labled,testTemperature,testfrequency,VR3_A,MATS3dv,MATS4d,MATS1s,MATS3m,MATS8m,MATS1v,MATS6v,MATS7are,MATS1i,MATS4i,GATS8d,GATS8m,GATS8v,GATS8p,GATS1i,GATS6i,GATS7i,SaaaC,AETA_beta_ns_d,IC2,CIC5,MIC5,PEOE_VSA8,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA10,JGI4,JGI8,JGI10,PetitjeanIndex,C1=CC=CC=C1,CC1=CC=C2CNCC2=C1,O=[SH]C1=CC=CC=C1,CCO,CN,COC,CC1=CC=C(O)C=N1,CSC1=CC=CC=C1,CC1=CC=C(C)C=C1,O=C1NCC2=CC=CC=C12,COC1=CC=C2CNCC2=C1,C=O,CC=O,CS(C)=O,N#CC1=CC=CC=C1,C1=CC=NC=C1,CC#N,O=S,O=CC1=CC=CC=C1,CC,COC1=CC=C(C)C=C1,CC(C)=O,CC1=CC=CC=N1,C#N,COC1=CC=C(C)N=C1,CNC,OC1=CC=C2CNCC2=C1,COC1=CC=CC=C1,NC1=CC=C(S)C=C1,N#CC1=CC=CC=C1O,O=C1NCC2=CC=C(S)C=C12,C1=CC=C(N2CC3=CC=CC=C3C2)C=C1,OC1=CC=C(C2=CC=CC=N2)N=C1,C1=CC=C(OC2=CC=CN=C2)C=C1,CC1=CC=C2CN(C)CC2=C1,NC1=CC=C(O)C=C1,OC1=CC=CN=C1,CS,FCF,OC1=CC=C(C2=CC=CC=C2)C=C1,CF,CNC1=CC=C(O)C=C1,CC1=CC=C2C(=O)NCC2=C1,CC1=CC=CC=C1,CC1=CC=CC(N)=C1,OC1=CC=CC=C1,CSC1=CC=C(N)C=C1,COC1=CC=CC(O)=C1,CNC1=CC=CC=C1,COC1=CC=C(N)C=C1,CC1=CC=C2CNC(=O)C2=C1,CCC1=CC=C(N)C=C1,C[SH]=O,FC1=CC=C(F)C(F)=C1,COC1=CC=CN=C1,CCC,CN1CC2=CC=C(O)C=C2C1,FCC1=CC=CC=C1,CC1=CC=CC=C1O,C1=CC=C(CC2=CC=CC=C2)C=C1,O=C1NCC2=CC(S)=CC=C12,CC1=CC=C(O)C=C1,CCC1=CC=CC(C)=C1,CCN,C,CO,O=CC1=CC=C2CNCC2=C1,CC(F)F,CCF,CCC1=CC=CC=C1
O=c1[nH]c(=O)c2cc3c(=O)n(-c4cccc(S(=O)(=O)c5ccccc5)c4)c(=O)c3cc12,0.00075,0.00075,0.00075,0,0.777777778,0.310250922,0.135973701,0.717935929,0.866496478,0.207891265,0.169112996,0.51399587,0.79330965,0.32905488,0.701011194,0.714337711,0.288717243,0.356643778,0.602386648,0.590456005,0.763749967,0.370710497,0.371923204,0.434384298,0.290557187,0.709677419,0.342011818,0.187970891,0.417992302,0,0,0.069537056,0.571428571,0.213629318,0,0.106360699,0.159776029,0.452670772,0.244711146,0.869886007,1,3,0,4,0,1,0,0,2,0,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Sc5ccccc5)cc4)c(=O)c3cc12,0.00165,0.00165,0.00165,0,0.384444444,0.310250922,0.208988328,0.704580166,0.665570293,0.632769586,0.085780775,0.916312436,0.819432013,0.24257143,0.596929263,0.873272905,0.320882906,0.592986865,0.118804414,0.228924565,0.166433573,0.219862591,0.229430772,0.594962794,0.94883692,0.948275862,0.291173035,0.166994977,0.364746182,0.402852804,0.099998331,0.218610882,0.142857143,0.280485894,0.320395601,0.106360699,0,0.916139195,0.243694993,0.454920944,0.666666667,3,0,0,0,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Sc5ccccc5)cc4)c(=O)c3cc12,0.001,0.001,0.001,0,0.666666667,0.310250922,0.208988328,0.704580166,0.665570293,0.632769586,0.085780775,0.916312436,0.819432013,0.24257143,0.596929263,0.873272905,0.320882906,0.592986865,0.118804414,0.228924565,0.166433573,0.219862591,0.229430772,0.594962794,0.94883692,0.948275862,0.291173035,0.166994977,0.364746182,0.402852804,0.099998331,0.218610882,0.142857143,0.280485894,0.320395601,0.106360699,0,0.916139195,0.243694993,0.454920944,0.666666667,3,0,0,0,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Sc5ccccc5)cc4)c(=O)c3cc12,0.00075,0.00075,0.00075,0,0.777777778,0.310250922,0.208988328,0.704580166,0.665570293,0.632769586,0.085780775,0.916312436,0.819432013,0.24257143,0.596929263,0.873272905,0.320882906,0.592986865,0.118804414,0.228924565,0.166433573,0.219862591,0.229430772,0.594962794,0.94883692,0.948275862,0.291173035,0.166994977,0.364746182,0.402852804,0.099998331,0.218610882,0.142857143,0.280485894,0.320395601,0.106360699,0,0.916139195,0.243694993,0.454920944,0.666666667,3,0,0,0,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Sc5ccc(-n6c(=O)c7cc8c(=O)n(-c9ccc(Oc%10ccccc%10)cc9)c(=O)c8cc7c6=O)cc5)cc4)c(=O)c3cc12,0.000929,0.002682,0.0017592,0,0.384444444,0.310250922,0.43000655,0.51415385,0.511121786,0.625012592,0.253239324,0.916371516,0.52348543,0.24973457,0.692708773,0.516626809,0.521727301,0.679178044,0.209818679,0.226677568,0.318420847,0.356892666,0.266230215,0.664439523,0.606558905,0.948275862,0.419913825,0.315119283,0.615260649,0.402852804,0.502176299,0.357684994,0.424204857,0.996936815,0.1373124,0.106360699,0.364015485,0.988400401,0.298581646,0.336892891,0.838709677,6,0,0,0,3,1,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccccc5)cc4)c(=O)c3cc12,0.00165,0.00165,0.00165,0,0.384444444,0.310250922,0.153216834,0.689981724,0.732654637,0.207891265,0.169112996,1,0.79330965,0.253823057,0.540308786,0.714337711,0.364130529,0.503367795,0,0.134461308,0.135058766,0.370710497,0.150671625,0.656769984,0.423294353,0.709677419,0.363335766,0.187970891,0.417992302,0,0,0.069537056,0.571428571,0.213629318,0,0.106360699,0.159776029,0.639318128,0.627064644,0.765149511,0.666666667,3,0,4,0,1,0,0,2,0,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccccc5)cc4)c(=O)c3cc12,0.001,0.001,0.001,0,0.666666667,0.310250922,0.153216834,0.689981724,0.732654637,0.207891265,0.169112996,1,0.79330965,0.253823057,0.540308786,0.714337711,0.364130529,0.503367795,0,0.134461308,0.135058766,0.370710497,0.150671625,0.656769984,0.423294353,0.709677419,0.363335766,0.187970891,0.417992302,0,0,0.069537056,0.571428571,0.213629318,0,0.106360699,0.159776029,0.639318128,0.627064644,0.765149511,0.666666667,3,0,4,0,1,0,0,2,0,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccccc5)cc4)c(=O)c3cc12,0.00075,0.00075,0.00075,0,0.777777778,0.310250922,0.153216834,0.689981724,0.732654637,0.207891265,0.169112996,1,0.79330965,0.253823057,0.540308786,0.714337711,0.364130529,0.503367795,0,0.134461308,0.135058766,0.370710497,0.150671625,0.656769984,0.423294353,0.709677419,0.363335766,0.187970891,0.417992302,0,0,0.069537056,0.571428571,0.213629318,0,0.106360699,0.159776029,0.639318128,0.627064644,0.765149511,0.666666667,3,0,4,0,1,0,0,2,0,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,0.0006,0.012,0.0060625,0,0.384444444,0.310250922,0.208988328,0.312090591,0.665570293,0.539541692,0.46299906,0.970345944,0.557928236,0.150813596,0.80236965,0.589094771,0.569506257,0.592986865,0.175261163,0.321984834,0.472860119,0.378187515,0.379613942,0.566877306,0.834526624,0.948275862,0.291173035,0.166994977,0.296890254,0,0.302179637,0.069537056,0.142857143,0.28483909,0.228854001,0.106360699,0,0.916139195,0.243694993,0.454920944,0.666666667,3,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,0.001,0.001,0.001,0,0.666666667,0.310250922,0.208988328,0.312090591,0.665570293,0.539541692,0.46299906,0.970345944,0.557928236,0.150813596,0.80236965,0.589094771,0.569506257,0.592986865,0.175261163,0.321984834,0.472860119,0.378187515,0.379613942,0.566877306,0.834526624,0.948275862,0.291173035,0.166994977,0.296890254,0,0.302179637,0.069537056,0.142857143,0.28483909,0.228854001,0.106360699,0,0.916139195,0.243694993,0.454920944,0.666666667,3,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0
