smile,value_min,value_max,value_mean,labled,testTemperature,testfrequency,VR3_A,AATS7d,AATS3i,MATS3dv,MATS5d,MATS7d,MATS3m,MATS6m,MATS1v,MATS7v,MATS7are,MATS7p,MATS1i,MATS3i,GATS8d,GATS3s,GATS7m,GATS8m,GATS5v,GATS6v,GATS7v,GATS8v,GATS7p,GATS8p,GATS1i,GATS7i,AXp-1d,SaaaC,MINdO,AETA_beta_ns_d,IC1,IC2,IC5,BIC0,MIC0,MIC5,PEOE_VSA8,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA10,AMID_N,JGI10,PetitjeanIndex,C1=CC=CC=C1,CN,COC1=CC=C2CNCC2=C1,C=O,CC=O,O=CC1=CC=CC=C1,COC1=CC=C(C)C=C1,CC(C)=O,OC1=CC=C2CNCC2=C1,NC1=CC=C(S)C=C1,N#CC1=CC=CC=C1O,CC1=CC=C2CN(C)CC2=C1,NC1=CC=C(O)C=C1,CC1=CC(C)=CC(C)=C1,C1=CC=C(C2=CC=C3CNCC3=C2)C=C1,O=C1NCC2=CC=C(O)C=C12,OC1=CC=C(C2=CC=CC=C2)C=C1,CC1=CC=CC(N)=C1,CC1=CC=C(O)C=C1C,O=C1NCC2=CC(O)=CC=C12,CSC1=CC=C(N)C=C1,COC1=CC=CC(O)=C1,COC1=CC=C(N)C=C1,CCC1=CC=C(O)C=C1,CCC1=CC=C(N)C=C1,CN1CC2=CC=C(O)C=C2C1,NC1=CC=CC=C1,CC1=CC=C(O)C=C1,O=CC1=CC=C2CNCC2=C1
O=c1[nH]c(=O)c2cc3c(=O)n(-c4cccc(S(=O)(=O)c5ccccc5)c4)c(=O)c3cc12,0.00075,0.00075,0.00075,0,0.777777778,0.310250922,0.135973701,0.6903087,0.101197041,0.717935929,0.497053456,0.602560316,0.169112996,0.679612444,0.79330965,0.678625687,0.701011194,0.850864649,0.714337711,0.17629961,0.356643778,0.692984872,0.271312253,0.602386648,0.172503552,0.667157284,0.338814797,0.590456005,0.026762082,0.763749967,0.370710497,0.434384298,0.377942349,0.290557187,0.412133291,0.709677419,0.382952106,0.342011818,0.382293997,0.865160857,0.777350495,0.417992302,0,0.069537056,0.571428571,0.213629318,0,0.106360699,0.159776029,0.343953446,0.869886007,1,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Sc5ccccc5)cc4)c(=O)c3cc12,0.00165,0.00165,0.00165,0,0.384444444,0.310250922,0.208988328,0.593946288,0.064407159,0.704580166,0.333817819,0.884451615,0.085780775,0.55959786,0.819432013,0.775822829,0.596929263,0.687871258,0.873272905,0.311883627,0.592986865,0.757205429,0.415547165,0.118804414,0.271669565,0.807701636,0.568414938,0.228924565,0.606746178,0.166433573,0.219862591,0.594962794,0.448673039,0.94883692,0.392155189,0.948275862,0.241486024,0.291173035,0.364173006,0.809984053,0.672834966,0.364746182,0.402852804,0.218610882,0.142857143,0.280485894,0.320395601,0.106360699,0,0.388126472,0.454920944,0.666666667,3,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Sc5ccccc5)cc4)c(=O)c3cc12,0.001,0.001,0.001,0,0.666666667,0.310250922,0.208988328,0.593946288,0.064407159,0.704580166,0.333817819,0.884451615,0.085780775,0.55959786,0.819432013,0.775822829,0.596929263,0.687871258,0.873272905,0.311883627,0.592986865,0.757205429,0.415547165,0.118804414,0.271669565,0.807701636,0.568414938,0.228924565,0.606746178,0.166433573,0.219862591,0.594962794,0.448673039,0.94883692,0.392155189,0.948275862,0.241486024,0.291173035,0.364173006,0.809984053,0.672834966,0.364746182,0.402852804,0.218610882,0.142857143,0.280485894,0.320395601,0.106360699,0,0.388126472,0.454920944,0.666666667,3,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Sc5ccccc5)cc4)c(=O)c3cc12,0.00075,0.00075,0.00075,0,0.777777778,0.310250922,0.208988328,0.593946288,0.064407159,0.704580166,0.333817819,0.884451615,0.085780775,0.55959786,0.819432013,0.775822829,0.596929263,0.687871258,0.873272905,0.311883627,0.592986865,0.757205429,0.415547165,0.118804414,0.271669565,0.807701636,0.568414938,0.228924565,0.606746178,0.166433573,0.219862591,0.594962794,0.448673039,0.94883692,0.392155189,0.948275862,0.241486024,0.291173035,0.364173006,0.809984053,0.672834966,0.364746182,0.402852804,0.218610882,0.142857143,0.280485894,0.320395601,0.106360699,0,0.388126472,0.454920944,0.666666667,3,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Sc5ccc(-n6c(=O)c7cc8c(=O)n(-c9ccc(Oc%10ccccc%10)cc9)c(=O)c8cc7c6=O)cc5)cc4)c(=O)c3cc12,0.000929,0.002682,0.0017592,0,0.384444444,0.310250922,0.43000655,0.80165047,0.139371675,0.51415385,0.398124804,0.852417738,0.253239324,0.486546825,0.52348543,0.803985792,0.692708773,0.652642301,0.516626809,0.387933853,0.679178044,0.7240388,0.464193196,0.209818679,0.353763124,0.948519382,0.601321065,0.226677568,0.8060841,0.318420847,0.356892666,0.664439523,0.272508231,0.606558905,0.522097458,0.948275862,0.323437681,0.419913825,0.73457371,0.41017931,0.541638607,0.615260649,0.402852804,0.357684994,0.424204857,0.996936815,0.1373124,0.106360699,0.364015485,0.408750139,0.336892891,0.838709677,6,3,0,8,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccccc5)cc4)c(=O)c3cc12,0.00165,0.00165,0.00165,0,0.384444444,0.310250922,0.153216834,0.737523867,0.101197041,0.689981724,0.585262178,0.701488941,0.169112996,0.533350368,0.79330965,0.757351422,0.540308786,0.577170276,0.714337711,0.17629961,0.503367795,0.691430371,0.364289036,0,0.326236371,0.875302057,0.604149861,0.134461308,0.663762221,0.135058766,0.370710497,0.656769984,0.377942349,0.423294353,0.39551328,0.709677419,0.382952106,0.363335766,0.382293997,0.865160857,0.777350495,0.417992302,0,0.069537056,0.571428571,0.213629318,0,0.106360699,0.159776029,0.343785425,0.765149511,0.666666667,3,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccccc5)cc4)c(=O)c3cc12,0.001,0.001,0.001,0,0.666666667,0.310250922,0.153216834,0.737523867,0.101197041,0.689981724,0.585262178,0.701488941,0.169112996,0.533350368,0.79330965,0.757351422,0.540308786,0.577170276,0.714337711,0.17629961,0.503367795,0.691430371,0.364289036,0,0.326236371,0.875302057,0.604149861,0.134461308,0.663762221,0.135058766,0.370710497,0.656769984,0.377942349,0.423294353,0.39551328,0.709677419,0.382952106,0.363335766,0.382293997,0.865160857,0.777350495,0.417992302,0,0.069537056,0.571428571,0.213629318,0,0.106360699,0.159776029,0.343785425,0.765149511,0.666666667,3,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccccc5)cc4)c(=O)c3cc12,0.00075,0.00075,0.00075,0,0.777777778,0.310250922,0.153216834,0.737523867,0.101197041,0.689981724,0.585262178,0.701488941,0.169112996,0.533350368,0.79330965,0.757351422,0.540308786,0.577170276,0.714337711,0.17629961,0.503367795,0.691430371,0.364289036,0,0.326236371,0.875302057,0.604149861,0.134461308,0.663762221,0.135058766,0.370710497,0.656769984,0.377942349,0.423294353,0.39551328,0.709677419,0.382952106,0.363335766,0.382293997,0.865160857,0.777350495,0.417992302,0,0.069537056,0.571428571,0.213629318,0,0.106360699,0.159776029,0.343785425,0.765149511,0.666666667,3,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,0.0006,0.012,0.0060625,0,0.384444444,0.310250922,0.208988328,0.593946288,0.356024975,0.312090591,0.333817819,0.884451615,0.46299906,0.496239244,0.557928236,0.685114597,0.80236965,0.697081203,0.589094771,0.373248457,0.592986865,0.898812561,0.451113026,0.175261163,0.256629555,1,0.635306239,0.321984834,0.484740496,0.472860119,0.378187515,0.566877306,0.448673039,0.834526624,0.386049569,0.948275862,0.241486024,0.291173035,0.364173006,0.680238341,0.310847318,0.296890254,0,0.069537056,0.142857143,0.28483909,0.228854001,0.106360699,0,0.388126472,0.454920944,0.666666667,3,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,0.001,0.001,0.001,0,0.666666667,0.310250922,0.208988328,0.593946288,0.356024975,0.312090591,0.333817819,0.884451615,0.46299906,0.496239244,0.557928236,0.685114597,0.80236965,0.697081203,0.589094771,0.373248457,0.592986865,0.898812561,0.451113026,0.175261163,0.256629555,1,0.635306239,0.321984834,0.484740496,0.472860119,0.378187515,0.566877306,0.448673039,0.834526624,0.386049569,0.948275862,0.241486024,0.291173035,0.364173006,0.680238341,0.310847318,0.296890254,0,0.069537056,0.142857143,0.28483909,0.228854001,0.106360699,0,0.388126472,0.454920944,0.666666667,3,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
